,Title,Year,Rating,Link,Budget,Gross,Net,Date
0,  Bhool Bhulaiyaa,2007,7.4,/title/tt0995031/,,19073095.0,,2007-10-12
1,  Paranormal Activity,2007,6.3,/title/tt1179904/,15000.0,193355800.0,193340800.0,2009-10-16
2,  30 Days of Night,2007,6.6,/title/tt0389722/,30000000.0,75513170.0,45513170.0,2007-10-19
3,  Boogeyman 2,2007,5,/title/tt0900357/,4500000.0,1798418.0,-2701582.0,2008-01-08
4,  Saw IV,2007,5.9,/title/tt0890870/,10000000.0,139352633.0,129352633.0,2007-10-26
5,  No Smoking,2007,7.3,/title/tt0995740/,,797693.0,,2007-10-26
6,  Beowulf,2007,6.3,/title/tt0442933/,150000000.0,196393745.0,46393745.0,2007-11-16
7,  P2,2007,5.9,/title/tt0804516/,8000000.0,7766240.0,-233760.0,2007-11-09
8,  Gabriel,2007,5.5,/title/tt0857376/,136000.0,1395610.0,1259610.0,2007-11-15
9,  Sweeney Todd: The Demon Barber of Fleet Street,2007,7.3,/title/tt0408236/,50000000.0,153383627.0,103383627.0,2007-12-21
10,  Trick 'r Treat,2007,6.7,/title/tt0862856/,12000000.0,,,2015-11-27
11,  Kutsal Damacana,2007,5.1,/title/tt1092011/,2000000.0,4866495.0,2866495.0,2007-12-20
12,  Aliens vs. Predator: Requiem,2007,4.6,/title/tt0758730/,40000000.0,130290885.0,90290885.0,2007-12-25
13,  Eden Log,2007,5.2,/title/tt1087842/,2360800.0,157350.0,-2203450.0,2007-12-26
14,  One Missed Call,2008,4,/title/tt0479968/,20000000.0,45847751.0,25847751.0,2008-01-04
15,  Cloverfield,2008,7,/title/tt1060277/,25000000.0,172394180.0,147394180.0,2008-01-18
16,  The Oxford Murders,2008,6.1,/title/tt0488604/,10000000.0,17646627.0,7646627.0,2010-07-02
17,  The Broken,2008,5.4,/title/tt0906734/,4840000.0,1688551.0,-3151449.0,2008-11-26
18,  Baghead,2008,6,/title/tt0923600/,,140106.0,,2008-01-22
19,  Donkey Punch,2008,5.2,/title/tt0988849/,1089000.0,694422.0,-394578.0,2008-07-18
20,  Let the Right One In,2008,7.9,/title/tt1139797/,4000000.0,11227336.0,7227336.0,2008-12-12
21,  The Eye,2008,5.4,/title/tt0406759/,12000000.0,58010320.0,46010320.0,2008-02-01
22,  Dark Floors,2008,4.4,/title/tt0985025/,4472000.0,772687.0,-3699313.0,2008-02-08
23,  The Cottage,2008,6.1,/title/tt0465430/,3025000.0,1626080.0,-1398920.0,2008-03-14
24,  Zombie Strippers!,2008,4.1,/title/tt0960890/,,82360.0,,2008-09-19
25,  Otis,2008,6,/title/tt0996967/,,,,2008-03-07
26,  Dance of the Dead,2008,5.8,/title/tt0926063/,,,,2008-03-09
27,  Outpost,2008,5.8,/title/tt0892899/,300000.0,463377.0,163377.0,2008-03-11
28,  Shutter (I),2008,5.2,/title/tt0482599/,8000000.0,48555306.0,40555306.0,2008-03-21
29,  The Machine Girl,2008,5.9,/title/tt1050160/,,,,2008-05-23
30,  The Ruins,2008,5.9,/title/tt0963794/,8000000.0,22818256.0,14818256.0,2008-04-04
31,  Prom Night (I),2008,3.9,/title/tt0926129/,20000000.0,57197876.0,37197876.0,2008-04-11
32,  The Objective,2008,5.4,/title/tt0962711/,4000000.0,95.0,-3999905.0,2008-04-24
33,  From Within,2008,5.6,/title/tt1063056/,,228014.0,,2009-06-03
34,  Dying Breed,2008,5.3,/title/tt1064744/,2040000.0000000002,370294.0,-1669706.0000000002,2008-11-06
35,  Bhoothnath,2008,6.3,/title/tt0991346/,,13236817.0,,2008-05-09
36,  The Midnight Meat Train,2008,6,/title/tt0805570/,15000000.0,3534313.0,-11465687.0,2008-10-31
37,  The Strangers,2008,6.1,/title/tt0482606/,9000000.0,82410456.0,73410456.0,2008-05-30
38,  Tokyo Gore Police,2008,5.9,/title/tt1183732/,,,,2008-10-03
39,  Martyrs,2008,7,/title/tt1029234/,3525600.0,1149138.0,-2376462.0,2008-09-03
40,  Lake Mungo,2008,6.3,/title/tt0816556/,952000.0000000001,8128.0,-943872.0000000001,2008-06-18
41,  Hellboy II: The Golden Army,2008,7,/title/tt0411477/,85000000.0,168319243.0,83319243.0,2008-07-11
42,  Babysitter Wanted,2008,5.4,/title/tt0819755/,,,,2009-02-06
43,  The Echo (I),2008,5.5,/title/tt0897347/,5000000.0,1508127.0,-3491873.0,2009-05-28
44,  Repo! The Genetic Opera,2008,6.4,/title/tt0963194/,8500000.0,188126.0,-8311874.0,2008-11-20
45,  The X Files: I Want to Believe,2008,5.9,/title/tt0443701/,30000000.0,69363381.0,39363381.0,2008-07-25
46,  The Mummy: Tomb of the Dragon Emperor,2008,5.2,/title/tt0859163/,145000000.0,403449830.0,258449830.0,2008-08-01
47,  100 Feet,2008,5.5,/title/tt0899128/,10000000.0,1415804.0,-8584196.0,2008-07-24
48,  Dorothy Mills,2008,6,/title/tt1034306/,500000.0,2682733.0,2182733.0,2008-08-06
49,  Eden Lake,2008,6.7,/title/tt1020530/,,3984669.0,,2008-09-12
50,  Mirrors (I),2008,6.1,/title/tt0790686/,35000000.0,78094714.0,43094714.0,2008-08-15
51,  Hush (V),2008,6,/title/tt1093369/,1210000.0,288667.0,-921333.0,2009-03-13
52,  Mum & Dad,2008,5.9,/title/tt1129428/,121000.0,2698.0,-118302.0,2008-12-26
53,  Autopsy,2008,5,/title/tt0443435/,2000000.0,115800.0,-1884200.0,2009-06-25
54,  Vinyan,2008,5.3,/title/tt1029241/,4264000.0,156944.0,-4107056.0,2008-10-01
55,  Sauna,2008,6.2,/title/tt1124394/,967906.16,192492.0,-775414.16,2008-10-24
56,  Deadgirl,2008,5.5,/title/tt0896534/,,,,2013-04-20
57,  Pontypool,2008,6.5,/title/tt1226681/,950000.0,32118.0,-917882.0,2009-09-18
58,  The Burrowers,2008,5.7,/title/tt0445939/,7000000.0,,,2008-09-21
59,  Igor,2008,5.9,/title/tt0465502/,25000000.0,30893885.0,5893885.0,2008-09-19
60,  Alien Raiders,2008,5.6,/title/tt0996979/,,,,2008-09-21
61,  Amusement,2008,4.9,/title/tt0476958/,10000000.0,170255.0,-9829745.0,2008-10-09
62,  Nature's Grave,2008,5.1,/title/tt1098356/,,,,2009-08-04
63,  I Sell the Dead,2008,6,/title/tt0902290/,750000.0,8050.0,-741950.0,2009-01-16
64,  Quarantine,2008,5.9,/title/tt1082868/,12000000.0,41319906.0,29319906.0,2008-10-10
65,  Cold Prey 2,2008,6.1,/title/tt1188990/,,3517248.0,,2008-10-10
66,  Train (I),2008,4.7,/title/tt1015474/,,,,2009-05-02
67,  Resident Evil: Degeneration,2008,6.4,/title/tt1174954/,,403117.0,,2008-10-18
68,  Saw V,2008,5.8,/title/tt1132626/,10800000.0,113864059.0,103064059.0,2008-10-24
69,  Vacancy 2: The First Cut,2008,4.9,/title/tt1204979/,3000000.0,,,2009-01-20
70,  Splinter (I),2008,6.1,/title/tt1031280/,,522497.0,,2009-04-03
71,  The Haunting of Molly Hartley,2008,3.9,/title/tt1045655/,5000000.0,15418749.0,10418749.0,2008-10-31
72,  House,2008,4.5,/title/tt0837796/,2500000.0,1141018.0,-1358982.0,2008-11-07
73,  The Children,2008,5.9,/title/tt1172571/,,1300051.0,,2008-12-05
74,  Kandisha,2008,6.5,/title/tt1033483/,3500000.0,,,2015-04-05
75,  Kill Theory,2009,5.3,/title/tt0893532/,6000000.0,397941.0,-5602059.0,2009-01-08
76,  My Bloody Valentine,2009,5.4,/title/tt1179891/,15000000.0,100734718.0,85734718.0,2009-01-16
77,  The Unborn,2009,4.7,/title/tt1139668/,16000000.0,76514050.0,60514050.0,2009-01-09
78,  Dead Snow,2009,6.3,/title/tt1278340/,800000.0,2166797.0,1366797.0,2009-01-09
79,  Grace (III),2009,5.2,/title/tt1220213/,5000000.0,8297.0,-4991703.0,2009-09-15
80,  Grotesque,2009,4.7,/title/tt1352369/,,,,2009-05-17
81,  The Uninvited,2009,6.3,/title/tt0815245/,,41633384.0,,2009-01-30
82,  Friday the 13th,2009,5.5,/title/tt0758746/,19000000.0,91509154.0,72509154.0,2009-02-13
83,  Walled In,2009,4.7,/title/tt1104006/,6000000.0,270888.0,-5729112.0,2009-06-19
